week,temp,dewp,hum
1,22.583333333333332,16.849999999999998,78.30677280453814
2,20.342857142857145,14.742857142857144,78.55981051908557
3,11.714285714285714,5.814285714285715,76.71070272558114
4,-0.07142857142857142,-6.857142857142857,72.34163321501158
5,-0.6714285714285714,-8.057142857142857,70.18844570953698
6,11.399999999999997,7.014285714285713,82.14730666747101
7,13.914285714285715,8.114285714285714,77.27295303906732
8,15.457142857142856,9.671428571428569,77.4693897502621
9,3.8428571428571425,-4.485714285714286,67.62058898010176
10,7.0,-0.8142857142857137,69.69910632222108
11,28.442857142857143,20.91428571428571,73.07014274299205
12,31.199999999999996,21.785714285714285,67.76906193812856
13,30.41428571428571,14.985714285714286,52.2517419825885
14,33.614285714285714,26.485714285714288,74.84170284209408
15,34.04285714285714,25.799999999999994,71.51241885769227
16,37.75,18.95,46.27443465856164
