state,level,week,year
AL,1,12,2011
AL,1,13,2011
AL,1,14,2011
AL,1,15,2011
AL,1,16,2011
AL,1,17,2011
AL,1,18,2011
AL,1,19,2011
AL,1,20,2011
AL,1,21,2011
AL,1,22,2011
AL,1,23,2011
AL,1,24,2011
AL,1,25,2011
AL,1,26,2011
AL,1,27,2011
AL,1,28,2011
AL,1,29,2011
AL,1,30,2011
AL,1,31,2011
AL,1,32,2011
AL,1,33,2011
AL,1,34,2011
AL,1,35,2011
AL,1,36,2011
AL,1,37,2011
AL,1,38,2011
AL,1,39,2011
AL,1,40,2011
AL,1,41,2011
AL,2,42,2011
AL,3,43,2011
AL,3,44,2011
AL,5,45,2011
AL,3,46,2011
AL,4,47,2011
AL,2,48,2011
AL,6,49,2011
AL,7,50,2011
AL,8,51,2011
AL,9,52,2011
AL,5,1,2012
AL,6,2,2012
AL,9,3,2012
AL,10,4,2012
AL,10,5,2012
AL,10,6,2012
AL,10,7,2012
AL,10,8,2012
AL,10,9,2012
AL,10,10,2012
AL,10,11,2012
AL,5,12,2012
AL,5,13,2012
AL,4,14,2012
AL,3,15,2012
AL,5,16,2012
AL,6,17,2012
AL,6,18,2012
AL,5,19,2012
AL,7,20,2012
AL,3,21,2012
AL,2,22,2012
AL,1,23,2012
AL,1,24,2012
AL,1,25,2012
AL,1,26,2012
AL,1,27,2012
AL,1,28,2012
AL,1,29,2012
AL,10,47,2019
AL,10,48,2019
AL,10,49,2019
AL,10,50,2019
AL,11,51,2019
AL,13,52,2019
AL,12,1,2020
AL,10,2,2020
AL,10,3,2020
AL,11,4,2020
AL,13,5,2020
AL,13,6,2020
AL,12,7,2020
AL,12,8,2020
AL,11,9,2020
AL,11,10,2020
AL,11,11,2020
AL,11,12,2020
AL,10,13,2020
AL,6,14,2020
AL,4,15,2020
AL,3,16,2020
AL,1,17,2020
AL,1,18,2020
AL,1,19,2020
AL,1,20,2020
AL,1,21,2020
AL,1,22,2020
AL,1,23,2020
AL,1,24,2020
AL,1,25,2020
AL,1,26,2020
AL,1,27,2020
AL,1,28,2020
AL,1,29,2020
AL,1,30,2020
AL,1,31,2020
AL,1,32,2020
AL,1,33,2020
AL,1,34,2020
AL,1,35,2020
AL,1,36,2020
AL,1,37,2020
AL,1,38,2020
AL,1,39,2020
AL,1,40,2020
AL,1,41,2020
