week,temp,dewp,hum
1,36.280208333333334,29.828645833333333,77.36583507964544
2,42.94249299719889,32.677282913165264,67.04250508797475
3,38.278151260504195,33.26638655462185,82.11910398854545
4,36.12521008403361,25.542436974789915,65.31229241106458
5,42.231932773109236,32.269747899159654,67.72887293884389
6,37.17633477633478,30.175036075036076,75.74875102185847
7,41.344817927170865,31.169152661064427,67.15035239979179
8,38.93739495798319,29.718907563025212,69.36486768244744
9,34.31848739495799,26.9936974789916,74.44680416240101
10,38.86274509803922,24.259803921568626,55.66561609201511
11,49.964145658263305,36.51176470588235,59.82370782078766
12,54.58739495798319,38.481092436974784,54.61370808819362
13,54.30672268907564,42.996638655462185,65.66896980006563
14,56.959243697479,45.33823529411764,65.22162629603076
15,59.08487394957983,41.34453781512605,51.90869515679867
16,64.21764705882354,51.29313725490196,63.17720472674494
