week,temp,dewp,hum
1,37.28584656084657,15.935119047619052,42.282354394841846
2,37.22857142857143,18.114285714285717,47.922773380172565
3,27.72675736961451,7.042176870748299,42.495157605634304
4,35.066607142857144,15.498214285714287,45.166558611380346
5,37.931428571428576,13.915000000000001,39.25020106286421
6,38.874285714285705,14.466428571428574,39.4568081828831
7,42.80999999999999,20.542857142857144,42.27720183362567
8,43.44489795918367,22.513378684807257,45.133725937568
9,48.762585034013604,19.190476190476186,32.217667625870014
10,38.27482993197278,13.165306122448978,37.08372850529428
11,50.01224489795918,16.442176870748305,27.40608880595004
12,47.82517006802721,14.32312925170068,27.00504920068826
13,55.08696145124718,17.200907029478458,22.673734969944903
14,54.66734693877552,17.04081632653061,23.214632358479435
15,50.30204081632653,18.16122448979592,29.99213016567715
16,57.722448979591825,10.348299319727891,15.757471445390934
17,59.627210884353744,10.070068027210885,15.04235232894342
18,58.65510204081633,8.189795918367347,13.486785503403492
19,64.00884353741499,26.704081632653057,25.957968044098216
20,60.37333333333333,30.35539682539682,32.66464527153551
21,68.23020408163264,32.00530612244898,26.89065161688637
22,72.38571428571429,29.11156462585034,21.254710761406074
23,75.38163265306123,26.291156462585036,16.67842295512009
24,76.41020408163264,25.08843537414966,15.752714769529794
25,77.5843537414966,41.39659863945578,29.5942050807354
26,76.76530612244899,43.401360544217674,31.415681288881853
27,74.23333333333332,51.312925170068034,45.36471715625126
28,70.9218820861678,57.24183673469388,62.69514980565592
29,74.5192857142857,57.36357142857143,55.667456203194675
30,75.23659863945579,56.47455782312924,52.431897162221176
31,78.14761904761905,51.97891156462587,41.0661035916229
32,75.65986394557824,55.76326530612246,50.55640602955309
33,72.05578231292517,54.497278911564635,55.46776363222144
34,71.5721088435374,51.461904761904755,50.63430140119586
35,70.76054421768707,55.219954648526084,58.46879705707573
36,68.25442176870749,49.851020408163265,52.95425067363536
37,64.90340136054422,51.42244897959184,62.830727908674014
38,64.28639455782313,44.0108843537415,48.265904018381846
39,67.09727891156463,42.8251700680272,41.95719982243421
40,63.943537414965974,36.301360544217694,35.93674449869344
41,61.49727891156464,41.092879818594106,47.24726284562768
42,53.18480725623582,36.20510204081633,53.685926177308474
43,53.286394557823144,25.34081632653061,34.90543030052479
44,55.682312925170066,30.069387755102042,37.63152373512729
45,48.700680272108855,19.195238095238093,31.319650319862323
46,45.38503401360544,22.361904761904764,40.30647223883623
47,43.72154195011337,18.699433106575967,36.50599673080025
48,43.14693877551021,24.165306122448982,47.02891682350416
49,40.974829931972785,19.812925170068027,42.91856793032527
50,40.042857142857144,24.391836734693875,53.86743167000503
51,37.5,19.308163265306124,49.054796568316554
52,35.69331065759637,17.225510204081633,48.298254950814496
