week,temp,dewp,hum
1,34.37777777777777,18.92525252525252,54.66652968095166
2,34.809090909090905,23.69090909090909,64.99151527982772
3,29.636363636363637,14.344155844155846,55.911811908822
4,32.59350649350649,21.225974025974025,64.08467160365336
5,32.94805194805195,18.167532467532467,55.80178853730538
6,35.92597402597403,18.712727272727275,50.992403564830006
7,39.21818181818182,19.22077922077922,47.43065059951699
8,41.3987012987013,27.444155844155844,59.220592294120664
9,46.43636363636363,25.867532467532467,46.672882044907766
10,42.47792207792208,13.514285714285712,33.288490034802734
11,47.805194805194795,19.827272727272728,35.26168319261646
12,48.16753246753247,16.784415584415584,30.723907662502214
13,52.01688311688312,18.494805194805192,28.20840127333387
14,49.320779220779215,16.04675324675325,27.486880111689494
15,51.031168831168834,15.213419913419916,26.231466585061955
16,54.9025974025974,11.41948051948052,18.848620108950865
17,54.08593073593074,11.015584415584415,19.974538303076148
18,57.99350649350651,14.889610389610391,20.11036696708143
19,63.32510822510822,24.294588744588747,23.9122375759457
20,67.6633116883117,24.954545454545453,20.804991491021497
21,60.80086580086579,30.518181818181816,33.08677461042572
22,62.27748917748918,32.85714285714286,37.285595856502106
23,66.1761038961039,26.794025974025978,24.98633435193773
24,71.31298701298702,20.007792207792207,16.03114843547003
25,80.22987012987012,21.97012987012987,12.861635800091362
26,80.99480519480518,26.94675324675325,14.680951677913889
27,83.47272727272727,28.471428571428568,14.631260818739428
28,82.89999999999999,34.224675324675324,17.726075563804695
29,81.58441558441558,39.046753246753255,22.888627995457203
30,81.57987012987014,38.345454545454544,22.079773506520137
31,82.34701298701297,30.63558441558441,15.74520865421967
32,81.3587012987013,41.51376623376623,24.93879171654385
33,82.23142857142857,30.492857142857144,15.579858355390218
34,80.02640692640693,33.622510822510826,19.384064232143487
35,78.28896103896103,35.907792207792205,22.109292864858926
36,70.82857142857141,23.683116883116885,17.605066336299373
37,71.6948051948052,28.114025974025978,20.370290200357775
38,71.29636363636364,31.15428571428572,22.867665438058694
39,68.38181818181819,27.562337662337658,22.08870911088044
40,67.27922077922078,37.37558441558441,34.461643405802754
41,53.75324675324677,23.120779220779227,31.658344410747848
42,54.11012987012987,19.36961038961039,26.25580475296346
43,54.884415584415585,13.490909090909092,20.295836565451573
44,59.55064935064936,28.515151515151516,31.111259788270516
45,47.15844155844156,27.94805194805195,49.807113559563795
46,48.993506493506494,29.462337662337664,50.14322545139951
47,47.2987012987013,23.351948051948057,41.0751401316185
48,45.62467532467533,30.053246753246754,54.94284768797015
49,40.41428571428572,22.43246753246753,49.04354525941971
50,36.714285714285715,17.08961038961039,45.4146796374317
51,27.509090909090904,18.412987012987013,68.38365509545025
52,30.29090909090909,20.275324675324676,66.69765969668498
