week,temp,dewp,hum
1,44.88842592592594,29.23611111111111,55.981707127549996
2,51.61070634920633,45.16584920634922,79.03410120127484
3,53.18908465608466,46.913275132275125,79.46950654870095
4,51.189304029304026,35.533851386708534,58.21947768962103
5,53.691522762951344,45.96904238618524,75.97064283454417
6,45.16857666143379,35.66690737833594,70.15092416226531
7,47.69191784406072,37.97176870748299,69.89673240759795
8,44.36502878074307,30.69964939822082,59.36783786191098
9,53.43704866562008,45.08160648874933,74.69371418187227
10,51.3912087912088,42.66420722135008,73.04054979763873
11,53.12806122448977,35.05489272632131,51.78800528408116
12,55.22301587301588,43.76238095238095,66.54935151276791
13,56.354814814814816,42.4252380952381,62.1057062011957
14,58.81411564625847,46.91013867085297,66.81995647646806
15,60.089269841269854,42.78022222222223,55.7132910837537
16,56.953148148148145,44.14481481481481,64.18792228838994
