week,temp,dewp,hum
1,49.8625,45.56250000000001,85.09187319613287
2,50.057142857142864,48.84285714285714,95.57676149001144
3,48.82857142857143,45.85714285714287,89.42768876830488
4,47.0,44.17142857142858,89.83478058386432
5,51.01428571428572,46.61428571428571,84.84086359634561
6,54.214285714285715,43.385714285714286,66.72098165323807
7,48.785714285714285,33.94285714285714,56.36340760506569
8,41.68571428571429,27.428571428571427,56.672086070375926
9,45.714285714285715,38.357142857142854,75.33083618105225
10,51.785714285714285,43.957142857142856,74.54821151491487
11,51.171428571428564,45.77142857142858,81.70441186222703
12,52.300000000000004,45.442857142857136,77.4032953173209
13,59.78571428571429,47.01428571428572,62.64060138659722
14,59.18571428571429,48.685714285714276,68.13736950984399
15,57.542857142857144,46.528571428571425,66.64498119203643
16,56.714285714285715,44.0,62.38147529671032
17,62.01428571428572,48.05714285714286,60.19524123900617
18,62.34285714285715,48.17142857142858,59.757345900439994
19,67.64285714285714,48.54285714285714,50.37836554976699
20,62.94285714285714,50.17142857142857,63.04101758381927
21,62.814285714285724,51.285714285714285,65.99555547134412
22,71.92857142857142,50.11428571428571,46.14721972555849
23,69.32857142857144,48.0,46.58928375890721
24,71.35714285714286,50.971428571428575,48.56841234233713
25,75.85714285714286,52.442857142857136,44.08311456708361
26,74.10000000000001,53.48571428571428,48.57118943316973
27,73.02857142857144,53.271428571428565,49.958036606666944
28,78.67142857142858,53.44285714285714,41.66454625487008
29,78.67142857142856,55.68571428571429,45.21211624349091
30,78.1857142857143,56.6,47.48631542282613
31,75.27142857142857,54.142857142857146,47.84055920520004
32,77.25714285714285,53.87142857142857,44.344374489673044
33,73.95714285714287,52.92857142857143,47.81802156513515
34,68.55714285714285,53.65714285714285,58.98609146704894
35,69.3,53.77142857142858,57.74463735651321
36,72.35714285714286,52.67142857142857,49.98954485449789
37,68.0,48.300000000000004,49.31259971261668
38,68.65714285714286,47.5,46.786708041948685
39,69.22857142857141,48.51428571428572,47.65812068792395
40,67.71428571428571,53.84285714285714,61.133806320910764
41,64.25714285714285,44.12857142857143,47.956174340102436
42,62.228571428571435,37.72857142857142,40.19878793774975
43,62.185714285714276,47.942857142857136,59.57655607065618
44,62.39999999999999,40.357142857142854,44.27272463951379
45,54.42857142857144,28.64285714285714,36.9412678332726
46,45.34285714285715,31.400000000000002,57.93451811593092
47,51.88571428571429,45.05714285714286,77.45111637938167
48,51.55714285714286,47.857142857142854,87.13629233717161
49,46.357142857142854,41.300000000000004,82.4347418218231
50,47.94285714285714,43.34285714285715,84.00526476563729
51,50.98571428571429,47.48571428571428,87.76357339986775
52,46.15714285714285,37.885714285714286,72.72314797093223
