week,temp,dewp,hum
1,28.6,24.485714285714288,84.36854899990986
2,30.142857142857142,19.8,65.01985613933203
3,24.61428571428571,19.599999999999998,80.93850471599274
4,38.214285714285715,29.800000000000004,71.46669860213635
5,35.114285714285714,25.5,67.67821071718141
6,32.37142857142857,16.72857142857143,52.07600540409314
7,51.6,30.97142857142857,45.05320461615934
8,43.02857142857143,27.11428571428571,53.12849941518104
9,48.857142857142854,29.414285714285715,46.825590713018315
10,56.642857142857146,46.614285714285714,69.06487153486364
11,48.15714285714285,29.5,48.23630040382293
12,50.528571428571425,30.628571428571433,46.22825294318134
13,54.857142857142854,31.38571428571429,40.659668703141286
14,58.714285714285715,32.67142857142857,37.25726038084407
15,60.08571428571428,41.17142857142857,49.59153217987213
16,61.84285714285714,51.357142857142854,68.47398341155714
17,57.24285714285713,51.300000000000004,80.5089973962534
18,62.60000000000001,46.65714285714286,55.94178782528248
19,62.94285714285714,47.357142857142854,56.74777808104944
20,58.82857142857143,52.18571428571429,78.5807935857327
21,69.38571428571429,63.34285714285715,81.11566922469214
22,71.31428571428572,58.21428571428572,63.325597330725124
23,79.34285714285714,60.699999999999996,52.93960193387566
24,83.54285714285716,68.29999999999998,60.212652067248484
25,84.37142857142858,66.94285714285715,55.950020211642126
26,76.41428571428571,66.57142857142857,71.63138455285315
27,82.2,71.87142857142858,71.02728086697023
28,79.47142857142856,70.25714285714285,73.49468438496106
29,87.95714285714287,70.12857142857142,55.66758217617783
30,77.54285714285716,69.84285714285714,77.2131945979512
31,79.51428571428572,71.25714285714287,75.92952730713606
32,79.71428571428571,70.67142857142856,73.94759210530142
33,75.37142857142855,64.64285714285714,69.35422276757025
34,74.95714285714287,66.87142857142858,75.97750865954109
35,72.64285714285714,65.17142857142856,77.41333749620371
36,76.8,64.92857142857143,66.79910947479735
37,70.94285714285714,63.52857142857143,77.42559936090278
38,77.8,66.94285714285715,69.30357470920657
39,60.74285714285715,49.6,66.70049843363147
40,61.62857142857143,51.92857142857142,70.46449397434465
41,60.82857142857143,52.228571428571435,73.29393948690361
42,61.25714285714286,47.42857142857143,60.38580816292144
43,64.3142857142857,53.65714285714285,68.320185991122
44,62.17142857142857,50.871428571428574,66.47970307345462
45,49.85714285714287,40.385714285714286,69.7866755965286
46,49.78571428571428,35.728571428571435,58.29733400790273
47,46.214285714285715,37.285714285714285,70.87604963710244
48,38.32857142857143,28.599999999999998,67.7473628087808
49,30.328571428571426,19.071428571428566,62.55432564229865
50,21.11428571428571,10.314285714285713,62.53212719626974
51,32.885714285714286,24.271428571428572,70.2870575768067
52,37.01666666666666,20.900000000000002,51.754242289527895
53,29.0,19.566666666666666,67.44408524408257
