week,temp,dewp,hum
1,28.200000000000006,18.342857142857145,66.13206006634309
2,24.75714285714286,16.34285714285714,69.94233332620212
3,24.057142857142857,15.85714285714286,70.51358732241184
4,20.11428571428571,13.357142857142856,74.65499881177587
5,24.185714285714287,17.214285714285715,74.38033012440611
6,25.685714285714283,13.7,59.968784180998135
7,35.385714285714286,19.342857142857145,51.66007200930001
8,29.17142857142857,15.957142857142856,57.335851681657466
9,35.61428571428572,23.157142857142855,60.1677452825338
10,40.557142857142864,32.84285714285714,73.76789603389841
11,41.057142857142864,29.585714285714285,63.425595992171544
12,34.214285714285715,20.014285714285712,55.69682366323691
13,39.21428571428572,21.842857142857138,49.41694707675999
14,42.87142857142857,29.7,59.42092737623453
15,48.55714285714286,39.771428571428565,71.52661217974699
16,48.442857142857136,37.58571428571429,65.95115831065365
17,58.6,50.199999999999996,73.61792524112836
18,54.55714285714286,44.07142857142857,67.64144684511946
19,53.32857142857142,45.21428571428572,73.89139181043217
20,54.72857142857142,52.614285714285714,92.55842600078765
21,66.15714285714286,60.84285714285714,83.00133175782777
22,64.3,52.05714285714286,64.45558013852444
23,66.6,58.285714285714285,74.61543203277884
24,63.285714285714285,55.12857142857143,74.72894166207067
25,64.94285714285715,59.48571428571428,82.49968553646966
26,69.77142857142857,61.01428571428572,73.74405619305892
27,73.92857142857143,63.885714285714286,70.88302408418528
28,73.15714285714286,62.17142857142857,68.4931047754726
29,77.37142857142858,68.12857142857142,73.2237790827651
30,71.25714285714285,62.91428571428572,74.96990207910626
31,72.24285714285715,64.15714285714286,75.73796091321591
32,70.74285714285713,63.84285714285714,78.81662849971526
33,70.7,64.95714285714287,82.06374204695366
34,70.94285714285715,63.642857142857146,77.7363223230215
35,67.12857142857145,57.65714285714286,71.6300376026373
36,63.71428571428571,59.15714285714285,85.11359704400188
37,62.82857142857143,55.34285714285715,76.53197016043414
38,65.51428571428572,61.9,88.10867529067673
39,67.04285714285714,62.5,85.35027215930042
40,55.214285714285715,45.74285714285714,70.37566212771972
41,59.42857142857143,51.85714285714287,75.98915185115655
42,55.27142857142858,45.48571428571429,69.54873954569669
43,43.41428571428571,36.614285714285714,76.78143050744967
44,39.6,31.214285714285715,71.70034806522949
45,50.44285714285714,42.471428571428575,74.01074517391069
46,51.028571428571425,43.214285714285715,74.51567843797064
47,41.91428571428572,35.442857142857136,77.6503329804308
48,45.557142857142864,38.271428571428565,75.52682666928631
49,44.300000000000004,38.785714285714285,80.83298108645468
50,35.642857142857146,27.185714285714287,71.05826195681487
51,36.58571428571429,29.571428571428573,75.48597796708745
52,38.0,30.150000000000002,73.10239044962702
