week,temp,dewp,hum
1,38.11428571428571,22.599999999999998,53.261058204775615
2,31.414285714285715,19.61428571428571,61.268182025341225
3,39.2,25.599999999999998,57.865310430072014
4,42.371428571428574,29.099999999999998,59.10905154988914
5,41.3,32.785714285714285,71.51353670167585
6,39.814285714285724,22.085714285714285,48.7731074110647
7,54.04285714285714,31.914285714285715,42.78757185382736
8,54.8,40.27142857142858,57.92548379264254
9,54.728571428571435,41.48571428571429,60.87071692487861
10,50.91428571428572,34.32857142857143,52.8810147782212
11,58.4,43.98571428571429,58.67998058020591
12,58.271428571428565,43.7,58.311239443663055
13,51.32857142857143,39.05714285714286,62.753305956007765
14,63.75714285714285,46.942857142857136,54.29645070458088
15,63.54285714285715,47.871428571428574,56.64903228250709
16,65.37142857142858,53.07142857142857,64.45093682149971
17,69.4857142857143,55.114285714285714,60.25771495737475
18,63.52857142857142,49.214285714285715,59.597072089278605
19,73.39999999999999,60.314285714285724,63.61340789259835
20,66.39999999999999,53.41428571428571,62.97716429009422
21,76.42857142857143,61.92857142857143,60.87397177558288
22,82.24285714285715,65.81428571428572,57.63169852772583
23,79.27142857142857,64.5142857142857,60.68695526994068
24,76.2,62.357142857142854,62.271911735550155
25,78.55714285714285,67.11428571428571,67.99674826936412
26,80.82857142857142,65.7,60.10433443994424
27,78.98571428571428,70.3142857142857,74.82114768054547
28,79.85714285714286,68.24285714285715,67.73887715212105
29,84.12857142857142,69.72857142857143,62.050302144383174
30,84.54285714285713,69.55714285714286,60.872119400806234
31,84.37142857142858,68.78571428571429,59.613365305837206
32,82.36666666666666,65.63333333333333,57.041346958983
33,80.80000000000001,65.55999999999999,59.8684547343751
34,79.45714285714287,63.45714285714285,58.128294932052746
35,80.22857142857143,63.88571428571428,57.536095064909055
36,70.65714285714286,59.24285714285715,67.18258930604296
37,70.62857142857142,54.0,55.64897378838839
38,71.0,63.314285714285724,76.69692207622663
39,68.6,53.98571428571428,59.611041952560484
40,62.61428571428571,48.07142857142857,58.96755013762234
41,64.94285714285715,52.34285714285715,63.692304897086025
42,56.11428571428571,45.800000000000004,68.26367652131611
43,55.785714285714285,44.02857142857143,64.58246053015945
44,50.72857142857142,37.957142857142856,61.45980404137378
45,51.8,38.971428571428575,61.4647791754088
46,56.042857142857144,45.34285714285714,67.26481265456634
47,57.48571428571428,47.0,67.97964634190676
48,46.17142857142857,35.75714285714286,66.83468611971405
49,49.35714285714285,38.614285714285714,66.35877903057826
50,51.114285714285714,40.05714285714286,65.76348315443038
51,51.42857142857143,45.857142857142854,81.19472075358772
52,46.775,37.8125,70.84277728577592
