week,temp,dewp,hum
1,32.1625,21.65,64.81503559257537
2,32.714285714285715,19.74285714285714,58.46250825940278
3,37.98571428571429,28.4,68.10357757990465
4,26.04285714285714,6.4,42.64886291367118
5,28.685714285714287,8.257142857142858,41.606764299477526
6,35.357142857142854,26.82857142857143,70.8175074516673
7,31.314285714285717,18.528571428571432,58.724375058132736
8,43.642857142857146,24.314285714285717,46.20453622359364
9,33.6,14.271428571428572,44.54599386513953
10,32.114285714285714,18.428571428571427,56.61603046018948
11,47.028571428571425,22.0,36.87361334752675
12,43.028571428571425,28.75714285714286,56.83480057512923
13,42.114285714285714,27.685714285714287,56.336611456182204
14,54.4,34.72857142857143,47.27201725418854
15,59.3,37.885714285714286,44.87505052908075
16,54.42857142857143,36.54285714285714,50.74290047821294
17,58.142857142857146,35.18571428571429,42.04456681113546
18,60.08571428571429,45.82857142857143,59.26177370375709
19,67.32857142857144,52.128571428571426,58.175872034195045
20,67.91428571428573,57.25714285714286,68.72023983960412
21,67.24285714285713,49.357142857142854,52.65475888122641
22,69.04285714285714,58.97142857142857,70.30262875520047
23,73.64999999999999,64.625,73.42149699168694
24,85.13333333333333,78.03333333333335,79.39115627402741
25,85.95,70.25,59.582342397314704
26,76.25714285714285,64.65714285714286,67.37289400354403
27,76.3,64.34285714285714,66.54294907796881
28,88.55000000000001,66.25,47.815401610679054
38,66.56666666666668,54.71666666666667,65.66431862752302
39,62.885714285714286,53.1,70.37677187313187
40,63.05714285714286,56.542857142857144,79.29183111943486
41,58.699999999999996,50.214285714285715,73.39380843395674
42,61.71428571428571,54.357142857142854,76.79277523565008
43,55.48571428571428,42.17142857142857,60.804130932002224
44,50.92857142857144,39.057142857142864,63.68853818842734
45,50.67142857142857,34.27142857142857,53.23739769655894
46,41.31428571428571,30.171428571428574,64.31271517309507
47,36.142857142857146,18.2,47.73855568412985
48,44.457142857142856,36.614285714285714,73.78459181363259
49,44.24285714285715,38.185714285714276,79.12995236256096
50,37.98571428571428,25.25714285714286,59.821202385338935
51,37.07142857142857,29.842857142857145,74.87755418930111
52,41.8,36.41428571428571,81.04975411607155
