week,temp,dewp,hum
1,22.6,17.3,79.78742259280054
2,33.48571428571428,29.085714285714285,83.70652166433595
3,49.42857142857143,47.31428571428571,92.3904292816232
4,35.671428571428564,29.114285714285717,76.81908720143235
5,35.31428571428571,33.15714285714285,91.75698273752579
6,31.614285714285717,26.828571428571426,82.2598600957778
7,34.385714285714286,27.542857142857144,75.80438208263732
8,37.285714285714285,32.028571428571425,81.11850102602368
9,37.31428571428571,29.442857142857147,72.96702909428
10,52.271428571428565,45.72857142857142,78.3282758635557
11,50.528571428571425,43.785714285714285,77.58601958058769
12,50.04285714285714,43.57142857142857,78.35321635755646
13,58.60000000000001,47.25714285714286,65.95003355040706
14,64.4,49.357142857142854,58.11609425820512
15,64.51428571428572,48.84285714285715,56.78442976677028
16,61.771428571428565,52.642857142857146,71.9769075407936
17,61.25714285714285,54.042857142857144,77.15427973295812
18,69.25714285714285,57.75714285714286,66.81691842166417
19,68.3,62.457142857142856,81.610298602845
20,68.7,63.32857142857142,83.00130493649873
21,74.17142857142858,67.12857142857142,78.6973523445137
22,77.25714285714285,72.07142857142857,84.07601025608446
23,75.92857142857143,71.05714285714285,84.89675652694395
24,79.11428571428571,73.04285714285713,81.7189020955651
25,80.37142857142858,74.11428571428571,81.29723587796131
26,75.45714285714287,68.01428571428572,77.72311940081468
27,79.32857142857142,71.28571428571429,76.4674461202953
28,79.42857142857143,74.65714285714286,85.38311539072828
29,81.02857142857144,75.82857142857142,84.26267028726299
30,80.02857142857144,75.65714285714286,86.56323252232146
31,80.17142857142856,74.55714285714286,83.05309272026389
32,82.55714285714285,78.14285714285714,86.57062013302809
33,78.72857142857143,75.84285714285716,90.89433859228548
34,74.81428571428572,69.04285714285714,82.26209608551217
35,72.32857142857144,64.81428571428572,77.27152697424722
36,70.58571428571429,64.98571428571428,82.46541415935447
37,70.81428571428572,64.34285714285714,80.01231221586345
38,73.91428571428571,68.4,82.93078330753829
39,61.48571428571429,56.65714285714286,84.15355451379514
40,56.814285714285724,50.01428571428572,77.95787943471677
41,58.08571428571428,52.214285714285715,80.78499907469296
42,57.08571428571429,48.15714285714285,72.02973762807203
43,58.34285714285714,50.37142857142857,74.7734881165997
44,48.542857142857144,42.17142857142858,78.52754374703488
45,49.042857142857144,41.18571428571429,74.1993111916176
46,50.271428571428565,41.68571428571429,72.26401702387214
47,51.028571428571425,37.5,59.699982002096185
48,40.4,28.47142857142857,62.16599443243281
49,31.22857142857143,16.642857142857142,54.33028974801248
50,27.328571428571426,16.057142857142857,62.103466807888
51,33.385714285714286,22.214285714285715,63.19644282842249
52,34.88,21.340000000000003,57.380188771500364
53,26.733333333333334,21.033333333333335,78.78730254439019
