week,temp,dewp,hum
1,35.68571428571428,24.185714285714287,62.63784370343083
2,45.94285714285714,40.357142857142854,80.73483735906798
3,61.38571428571429,52.44285714285714,72.43054393504018
4,48.81428571428571,40.214285714285715,72.0719140360195
5,47.75714285714285,42.75714285714285,82.71479408219463
6,43.271428571428565,36.42857142857143,76.63862833498342
7,48.285714285714285,36.07142857142857,62.49669888814155
8,46.471428571428575,38.11428571428571,72.51174941381694
9,52.042857142857144,41.67142857142857,67.64476493185671
10,62.542857142857144,51.5,67.15829011073986
11,55.94285714285714,44.814285714285724,66.16695445624137
12,58.18571428571429,46.02857142857143,63.90515698968176
13,66.72857142857143,55.542857142857144,67.28799602496271
14,65.34285714285714,54.300000000000004,67.47992466669407
15,67.91428571428573,59.68571428571429,74.96644022873502
16,68.75714285714285,58.1857142857143,69.02481861150164
17,71.44285714285715,58.41428571428571,63.50376211129869
18,73.89999999999999,57.7,56.97408215481434
19,76.87142857142858,68.54285714285713,75.51283378230296
20,79.65714285714286,70.05714285714285,72.55245285577718
21,80.28571428571429,67.97142857142856,66.17561766667042
22,79.95714285714287,70.9,73.93423887933123
23,82.97142857142856,74.51428571428572,75.71925027932448
24,84.04285714285713,72.81428571428572,69.08823855107768
25,83.45714285714287,72.95714285714287,70.7439745616053
26,80.22857142857143,74.47142857142858,82.66063863586345
27,81.34285714285714,73.97142857142856,78.3865899830825
28,83.75714285714287,73.9857142857143,72.52785659110923
29,82.15714285714284,74.7,78.22629225353846
30,81.1857142857143,73.81428571428572,78.3741667156063
31,85.25714285714285,74.04285714285713,69.2492774620028
32,86.58571428571429,74.15714285714286,66.62771787522634
33,85.55714285714285,74.75714285714285,70.24785825451954
34,82.98571428571428,68.34285714285714,61.39565053780568
35,80.45714285714287,72.67142857142856,77.23072988221318
36,81.18571428571428,74.34285714285714,79.77549954112646
37,80.5,71.4857142857143,74.0921407917859
38,78.3,70.6,77.27617700028506
39,70.78571428571429,52.771428571428565,52.91723892812049
40,64.10000000000001,45.214285714285715,50.25421441633006
41,69.95714285714287,53.614285714285714,56.13929587736226
42,74.78571428571429,63.81428571428571,68.70523711183955
43,71.18571428571428,51.042857142857144,48.98097829266764
44,58.88571428571429,45.285714285714285,60.59351008290439
45,62.41428571428571,55.24285714285714,77.37434956965282
46,57.51428571428572,49.28571428571428,73.98267819832303
47,62.114285714285714,53.042857142857144,72.16305185346232
48,56.88571428571429,43.1857142857143,60.09632642303436
49,49.51428571428572,36.857142857142854,61.574568957282935
50,52.028571428571425,38.12857142857143,58.97284823971718
51,56.41428571428572,47.15714285714286,71.07660172184077
52,56.54,50.480000000000004,80.10681628157224
53,43.300000000000004,34.43333333333334,70.72989691712311
